"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","100100","1002","24","22","1","0","0","0","0","0","0","0","1","10","14","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","3","3","0","1","2","2","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","1","1","1","0","0","0","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"g22","voters","100100","1003","14","11","2","0","0","0","0","0","0","0","1","5","9","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","2","2","2","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","100100","1004","37","25","2","1","0","0","1","0","0","0","8","15","22","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","0","2","1","2","3","1","7","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","1","1","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","9","9","1","0","0","0","2","0","4","1","0","0","0","0","0","0","0","1","3","1","2","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0"
"g22","voters","100100","1007","53","43","4","0","0","1","0","0","0","0","5","22","31","2","1","1","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","2","1","7","0","2","4","4","7","2","8","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","16","9","5","3","0","0","0","1","9","0","1","0","1","0","0","0","1","1","2","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","100100","1008","41","24","8","0","0","0","0","0","0","0","9","19","22","2","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","1","1","4","2","0","0","0","0","3","4","7","0","0","0","0","0","0","4","0","0","0","0","1","0","3","0","0","0","1","2","0","2","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","8","4","2","2","0","0","0","2","1","1","0","0","1","0","0","0","5","3","1","0","1","1","0","0","0","3","0","0","0","0","0","0","0","0","0"
"g22","voters","100100","1009","27","20","1","1","0","0","0","0","0","0","5","13","14","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","0","3","0","1","0","2","3","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","9","6","1","1","0","0","0","0","3","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"g22","voters","100100","1010","68","48","7","2","0","1","0","0","2","0","8","28","40","5","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","4","6","0","1","2","4","1","4","19","0","0","1","0","0","0","2","0","0","0","0","0","1","3","0","1","0","1","1","1","1","0","1","0","0","0","0","2","0","0","0","1","0","0","2","0","0","1","0","1","0","0","11","15","2","4","2","0","0","3","11","0","2","0","0","0","0","0","1","4","2","3","1","0","0","0","0","0","2","2","3","0","0","0","0","0","0","0"
"g22","voters","100100","1011","44","22","9","1","0","0","1","0","1","0","10","20","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","2","0","4","0","1","1","3","4","1","4","0","0","0","0","2","2","1","0","0","0","1","0","1","2","0","0","0","1","1","0","3","0","0","2","0","0","1","2","0","0","0","1","0","0","1","0","0","0","0","1","0","0","7","10","0","1","0","1","0","2","1","3","3","0","0","0","0","1","1","1","4","2","0","1","0","1","0","0","2","2","1","0","0","0","0","0","0","0"
"g22","voters","100100","1012","158","104","23","2","0","1","1","0","2","0","25","75","83","6","2","0","0","10","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","5","4","10","16","0","4","7","8","9","12","20","0","0","0","1","1","1","9","0","0","0","2","1","2","6","0","1","0","1","2","5","6","0","0","1","0","2","2","5","0","0","0","2","0","0","2","0","0","0","1","0","0","1","33","34","3","7","2","7","0","2","16","1","10","2","0","0","0","1","0","9","5","6","6","0","0","0","1","0","7","3","1","2","0","0","0","0","0","0"
"g22","voters","100100","1013","30","23","4","0","0","0","0","0","0","0","3","13","17","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","0","3","0","1","4","3","4","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","4","3","1","0","0","1","2","1","1","0","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
