"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","101100","1003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","101100","1004","189","99","42","9","0","1","4","0","1","1","32","95","94","1","1","0","0","4","0","2","1","1","0","0","0","1","0","0","0","2","0","2","1","2","0","2","0","0","0","0","0","0","2","0","0","0","1","3","4","5","7","23","0","0","3","6","11","9","27","0","0","2","1","4","2","14","0","0","1","3","1","4","10","0","1","2","3","2","4","6","0","0","1","2","3","5","3","0","2","1","1","2","4","1","0","0","0","2","1","0","2","38","28","9","3","1","0","0","3","17","11","13","1","4","1","1","2","0","9","6","9","6","0","0","1","2","4","4","8","2","2","1","0","0","0","2","1"
"g22","voters","101100","1006","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","101100","1015","11","5","4","0","0","0","0","0","0","0","2","5","6","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","2","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","1","1","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","101100","1017","34","19","4","0","0","0","2","0","0","0","9","17","17","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","6","0","0","0","2","1","2","7","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","1","1","1","0","3","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","5","4","0","1","0","1","2","1","5","0","1","0","0","0","0","0","1","2","2","3","1","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0"
"g22","voters","101100","1018","137","74","22","5","0","0","3","0","0","1","32","67","70","1","0","6","0","6","0","3","1","0","0","0","0","0","1","0","0","2","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","3","7","14","0","2","4","2","7","9","20","0","1","0","1","3","2","4","0","1","1","0","3","2","4","0","6","0","0","3","6","5","0","2","0","1","1","3","5","0","0","0","1","1","2","2","0","0","0","0","2","0","1","24","18","4","1","2","0","4","4","17","7","7","3","1","0","0","1","0","3","8","10","4","1","0","1","0","0","8","4","2","0","1","0","0","0","0","2"
"g22","voters","101100","1020","13","4","7","0","0","0","1","0","0","0","1","7","6","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","1","3","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","101100","1021","8","2","5","0","0","0","1","0","0","0","0","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","101100","1023","76","40","23","1","0","0","1","0","0","0","11","38","38","2","1","0","0","1","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","4","10","0","0","1","5","2","3","9","0","0","0","1","0","4","6","0","0","0","0","0","5","7","0","0","0","0","1","2","3","0","0","0","0","1","2","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","12","16","0","4","0","2","0","1","5","5","5","1","0","0","0","0","0","12","4","3","1","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0"
"g22","voters","101100","1024","8","3","2","0","0","0","0","0","0","0","3","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
