"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","000000","0000","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"g22","voters","600100","1000","18","16","1","0","0","0","0","0","0","0","1","4","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","2","0","1","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","3","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"g22","voters","600100","1001","25","13","2","0","0","0","0","0","0","0","10","8","17","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","1","0","1","3","3","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","2","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","0","0","1","0","0","3","2","0","0","0","0","0","0","0","0","2","3","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0"
"g22","voters","600100","1002","37","21","7","2","0","0","0","0","0","0","7","20","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","2","2","1","1","2","0","0","2","4","1","2","2","0","0","0","0","1","1","3","0","0","0","0","0","0","2","0","1","1","0","1","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","10","9","0","0","1","1","0","0","0","2","3","1","0","1","0","0","0","0","3","1","2","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0"
"g22","voters","600100","1003","32","19","7","0","0","0","0","0","0","0","6","12","20","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","3","4","2","3","3","0","0","0","0","0","3","2","0","0","0","0","0","2","0","0","0","0","1","1","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","0","1","0","0","3","2","2","0","2","1","0","0","0","0","1","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"g22","voters","600100","1004","28","18","2","1","0","0","0","0","1","0","6","15","13","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","3","0","2","2","3","0","0","1","0","1","3","3","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","7","5","1","0","0","0","0","0","5","0","0","0","2","0","0","0","0","0","2","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"g22","voters","600100","1005","78","54","7","1","0","2","1","0","0","0","13","41","37","6","0","1","1","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","2","5","9","11","0","2","2","1","8","5","7","0","0","0","0","0","0","4","0","0","0","1","0","1","1","0","0","0","1","1","2","4","0","0","1","0","0","2","2","0","0","0","0","0","0","0","0","0","0","2","1","1","0","15","14","5","2","1","5","0","1","11","2","3","0","0","0","1","0","0","1","0","4","3","1","0","1","2","0","2","2","2","0","0","0","0","0","0","0"
"g22","voters","600100","1006","21","13","3","0","0","0","0","0","0","0","5","11","10","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","3","0","0","1","0","1","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","1","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","1","1","0","0","5","1","2","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"g22","voters","600100","1007","31","18","3","1","0","0","0","0","1","0","8","12","19","0","0","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","2","1","1","4","0","0","0","1","3","2","4","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","3","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","6","4","0","1","0","1","1","2","3","1","0","0","0","0","0","0","0","2","4","2","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1"
"g22","voters","600100","1008","24","18","1","0","0","0","0","0","0","0","5","11","13","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","4","0","2","1","0","4","1","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","5","1","1","0","0","0","1","4","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0"
