"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","253108","2007","31","17","11","0","0","0","0","0","0","0","3","13","18","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","2","0","3","3","0","0","0","0","2","1","5","0","0","0","0","1","1","2","0","1","0","1","2","1","2","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","2","0","2","0","0","0","2","2","5","1","0","0","0","0","0","3","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0"
"g22","voters","253108","2008","46","16","20","3","0","1","1","0","0","0","5","21","25","3","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","2","5","0","0","1","0","1","4","2","0","1","0","0","1","4","3","0","0","0","0","3","4","4","0","0","0","0","1","1","0","0","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","1","0","0","1","1","4","6","1","1","0","2","0","1","1","2","8","1","2","1","0","2","0","4","0","0","1","2","0","1","0","0","1","0","3","2","0","0","0","0","0","0"
"g22","voters","253108","2009","16","3","8","2","0","0","0","0","0","0","3","8","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","2","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","3","2","2","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"g22","voters","253108","3002","47","18","16","5","0","0","0","0","0","0","8","21","26","1","4","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","3","2","1","0","0","0","2","6","1","2","1","0","0","0","5","1","2","0","0","0","0","3","2","2","1","0","0","1","0","2","1","0","0","1","0","1","0","1","1","0","0","0","1","2","0","0","0","0","0","0","0","2","0","10","5","0","0","0","1","1","1","0","7","6","1","1","0","0","0","1","0","1","5","0","0","2","0","0","0","0","4","0","0","0","1","0","0","0","0"
"g22","voters","253108","3003","9","2","4","1","0","0","0","0","0","0","2","4","5","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","253108","3004","83","35","27","4","1","0","0","0","0","0","16","36","47","2","3","3","0","1","2","1","1","2","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","1","1","2","7","0","2","1","3","4","8","6","0","0","1","2","0","4","10","0","0","0","0","0","1","9","0","1","0","0","1","3","2","0","0","2","1","3","1","2","0","0","0","0","1","0","0","0","0","0","1","2","0","1","12","14","3","1","0","0","1","1","3","5","9","2","4","1","1","0","0","5","6","6","3","0","0","0","1","0","0","1","3","0","0","1","0","0","0","0"
"g22","voters","253108","3005","11","6","2","2","0","0","0","0","0","0","1","5","6","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","3","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"g22","voters","253108","3007","62","31","13","3","0","1","0","0","0","0","14","25","37","4","1","1","1","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","2","2","4","0","2","3","5","0","3","7","0","0","0","2","1","2","1","0","0","0","0","1","4","2","0","0","0","2","2","1","0","0","0","0","3","2","4","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","10","10","3","1","0","1","2","2","2","3","7","1","2","0","0","0","0","0","5","4","2","1","0","0","0","1","1","3","0","0","0","1","0","0","0","0"
"g22","voters","253108","3008","38","10","20","1","1","0","1","0","0","0","5","16","22","2","3","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","1","1","3","1","0","0","1","0","0","0","7","0","0","1","2","3","4","2","0","0","0","2","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","3","4","1","0","0","0","0","0","2","5","7","1","1","0","0","0","1","5","2","1","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0"
"g22","voters","253108","3009","6","2","2","1","0","0","0","0","0","0","1","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
