"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","150100","1000","56","25","14","2","0","0","1","0","0","0","14","29","27","0","1","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","5","0","0","1","0","1","3","11","0","0","0","0","0","1","6","0","0","0","0","1","0","6","0","0","1","1","2","1","6","0","0","0","0","0","1","2","0","0","0","1","0","1","0","0","0","0","0","1","0","0","12","7","1","1","0","0","1","0","3","3","3","1","0","0","1","1","2","3","6","1","4","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0"
"g22","voters","150100","1001","6","3","1","0","0","0","0","0","0","0","2","3","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","150100","1003","28","15","3","0","0","1","0","0","0","0","9","15","13","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","2","0","0","1","1","0","3","3","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","2","0","3","0","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","3","2","1","0","0","0","0","1","1","1","0","0","0","1","0","0","0","3","1","2","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","150100","1004","26","9","8","1","0","0","0","0","1","0","7","15","11","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","0","0","1","1","1","2","0","0","0","0","0","1","3","0","0","0","0","1","1","2","0","0","0","0","1","1","3","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","3","4","1","0","0","0","0","1","0","4","0","0","0","0","0","0","0","4","5","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"g22","voters","150100","1005","13","7","4","0","1","0","0","0","0","0","1","5","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","3","0","0","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","1","3","1","0","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","150100","1006","17","9","3","1","0","1","0","0","1","0","2","8","9","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","3","3","1","0","0","0","0","0","2","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0"
"g22","voters","150100","1009","76","50","15","3","0","0","0","0","0","0","8","36","40","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","14","0","1","0","0","6","9","11","0","0","1","0","0","3","5","0","0","1","0","1","1","3","0","0","1","0","1","1","1","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","21","11","3","1","0","0","3","2","9","4","4","1","2","0","0","1","0","3","6","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2"
"g22","voters","150100","1010","10","3","6","0","0","0","0","0","0","0","1","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","2","1","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","2","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"g22","voters","150100","1011","31","17","7","0","0","0","0","0","1","0","6","12","19","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","1","1","0","2","2","7","0","0","0","0","0","2","2","0","0","0","0","1","0","2","0","0","1","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","9","4","2","0","0","0","0","0","2","4","1","0","0","0","0","0","0","2","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"g22","voters","150100","1012","29","24","2","0","0","1","0","0","0","0","2","13","16","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","3","4","0","2","3","0","0","3","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","6","5","0","0","0","0","0","4","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
