"election","type","tract","block","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g22","voters","000101","1000","3","2","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1001","3","1","1","0","0","0","0","0","0","0","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1004","126","23","79","4","0","1","0","0","0","0","19","62","64","3","2","0","0","2","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","6","0","0","1","2","4","3","5","0","3","1","5","4","9","16","0","1","1","9","1","10","19","0","1","2","2","4","3","0","0","1","0","0","2","1","3","0","1","0","1","0","0","2","0","0","0","0","1","0","0","4","9","1","0","1","0","0","0","8","35","20","3","2","0","1","2","1","15","5","6","3","1","1","0","1","0","2","2","1","1","0","1","0","0","0","0"
"g22","voters","000101","1005","53","10","35","0","0","0","0","0","0","0","8","24","29","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","2","0","4","0","2","0","2","1","2","9","0","2","0","2","2","4","9","0","2","1","0","1","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","2","0","0","0","0","0","1","15","7","3","0","2","2","1","0","5","2","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1006","2","1","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1008","36","8","22","0","0","0","1","0","0","0","5","18","18","2","4","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","4","0","2","0","0","3","0","8","0","0","0","2","0","1","6","0","0","0","0","1","1","0","0","0","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5","1","1","0","0","0","0","0","1","5","10","3","0","0","0","0","0","4","0","2","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"g22","voters","000101","1010","7","0","4","2","0","0","0","0","0","0","1","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"g22","voters","000101","1011","3","0","3","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1012","8","0","5","0","0","0","0","0","0","0","3","5","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1014","7","1","6","0","0","0","0","0","0","0","0","3","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1015","5","0","5","0","0","0","0","0","0","0","0","3","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1017","64","8","39","4","0","0","1","0","0","0","12","34","30","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","2","0","0","0","0","0","0","0","0","0","0","1","2","0","1","1","2","0","0","0","0","1","0","0","0","2","2","2","1","5","5","0","1","3","2","2","5","9","0","1","2","0","0","1","4","0","0","0","0","0","1","3","0","0","0","0","0","1","1","0","2","0","0","0","0","1","1","4","1","0","0","0","0","0","2","15","11","2","4","0","0","1","0","6","5","3","1","0","0","1","0","1","1","2","2","1","0","0","0","0","0","0"
"g22","voters","000101","1018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1020","81","22","51","0","0","1","1","0","0","0","6","43","38","7","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","4","3","0","2","1","1","1","2","5","0","0","1","1","4","9","12","0","3","0","0","4","7","10","0","1","0","1","0","1","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","10","8","0","3","0","0","0","1","0","19","15","4","3","0","1","1","1","7","0","2","1","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"g22","voters","000101","1021","46","7","37","1","0","0","0","0","0","0","1","21","25","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","4","1","0","1","1","1","2","4","9","0","0","2","0","2","4","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","2","0","0","0","0","1","0","1","10","13","2","2","0","0","0","2","8","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"g22","voters","000101","1022","15","3","9","0","0","0","0","0","0","0","3","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1","1","1","1","0","0","0","0","2","1","0","2","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","3","3","0","0","0","0","0","1","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1023","20","5","8","1","0","0","2","0","0","0","4","11","9","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","2","0","0","0","0","3","1","1","0","0","0","1","0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","2","1","0","0","0","0","0","1","4","2","0","0","0","0","1","0","1","1","1","1","0","0","0","0","1","0","2","1","0","0","0","0","0","0","0"
"g22","voters","000101","1024","59","18","32","3","0","0","1","0","0","0","5","27","32","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","3","0","0","0","2","0","3","7","0","0","0","4","1","3","7","0","1","1","2","1","7","5","0","0","1","1","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","2","1","0","0","0","0","0","0","0","9","5","1","0","0","1","1","0","1","14","10","2","0","0","0","0","0","6","2","1","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0"
"g22","voters","000101","1025","16","1","13","0","0","0","1","0","0","0","1","7","9","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","1","3","0","0","2","2","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","11","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"g22","voters","000101","1026","43","12","28","2","0","0","0","0","0","0","1","19","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","3","0","0","0","0","0","2","4","0","0","0","0","0","3","9","0","1","0","1","1","7","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","6","2","0","0","0","0","0","0","4","10","6","2","0","1","0","1","0","8","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"g22","voters","000101","1028","25","8","10","1","1","0","0","0","0","0","5","11","14","1","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","4","0","0","0","1","0","4","0","0","0","1","0","0","3","1","0","0","0","1","0","0","1","0","0","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","3","1","0","0","0","0","1","2","3","5","0","1","0","0","0","0","1","1","2","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0"
"g22","voters","000101","1031","27","6","18","1","0","0","0","0","0","0","2","13","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","3","0","0","0","2","2","1","4","0","0","0","2","2","0","5","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","1","0","2","0","0","0","7","4","1","2","0","0","1","1","2","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g22","voters","000101","1032","73","13","43","4","0","1","1","0","0","0","11","32","41","1","8","1","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","4","0","0","1","0","0","2","4","0","1","2","2","5","2","6","0","1","1","4","2","8","9","0","0","0","0","1","0","2","0","0","2","1","1","0","4","0","0","1","0","0","0","4","0","0","0","0","0","1","0","5","6","0","0","0","1","0","0","1","21","11","3","1","0","0","0","0","7","5","2","1","2","0","0","0","0","1","4","1","1","0","0","0","0","0","0"
"g22","voters","000101","1033","34","4","25","0","1","0","1","0","0","0","3","17","17","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","3","4","3","0","4","2","3","1","2","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2","12","9","1","0","0","0","0","0","3","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"g22","voters","000101","1034","16","6","7","0","0","0","0","0","0","0","3","6","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","2","0","0","0","0","1","2","1","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","1","0","0","1","4","0","1","0","0","1","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"g22","voters","000101","1035","25","7","15","1","0","0","0","0","0","0","2","14","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","3","2","0","0","0","1","0","4","5","0","0","0","0","0","3","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","2","0","0","0","0","0","1","6","2","0","0","0","0","0","1","6","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"g22","voters","000101","1036","10","4","6","0","0","0","0","0","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","3","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","1","1","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
