COUNTY20,BLOCK20,CIT_22,NH_CIT_22,NH_Ind_CIT_22,NH_Asn_CIT_22,NH_Blk_CIT_22,NH_Hwn_CIT_22,NH_Wht_CIT_22,NH_IndWht_CIT_22,NH_AsnWht_CIT_22,NH_BlkWht_CIT_22,NH_IndBlk_CIT_22,NH_OthMR_CIT_22,Hsp_CIT_22,CVAP_22,NH_CVAP_22,NH_Ind_CVAP_22,NH_Asn_CVAP_22,NH_Blk_CVAP_22,NH_Hwn_CVAP_22,NH_Wht_CVAP_22,NH_IndWht_CVAP_22,NH_AsnWht_CVAP_22,NH_BlkWht_CVAP_22,NH_IndBlk_CVAP_22,NH_OthMR_CVAP_22,Hsp_CVAP_22,DOJ_NH_Ind_CIT_22,DOJ_NH_Blk_CIT_22,DOJ_NH_Asn_CIT_22,DOJ_NH_Ind_CVAP_22,DOJ_NH_Blk_CVAP_22,DOJ_NH_Asn_CVAP_22
087,060871001001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871001001002,23,21,0,0,3,0,20,0,0,0,0,0,1,18,17,0,0,3,0,15,0,0,0,0,0,1,0,3,0,0,3,0
087,060871001001003,85,68,2,0,4,0,57,5,0,0,0,1,18,69,54,2,0,4,0,45,5,0,0,0,1,16,7,4,0,7,4,0
087,060871001001004,80,65,0,5,0,0,58,0,2,0,0,0,15,64,51,0,4,0,0,46,0,2,0,0,0,13,0,0,7,0,0,6
087,060871001001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871001001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871001001007,67,56,0,0,2,0,57,0,0,0,0,0,12,54,44,0,0,2,0,45,0,0,0,0,0,10,0,2,0,0,2,0
087,060871001001008,71,64,0,1,0,0,57,0,0,0,0,1,6,57,50,0,1,0,0,45,0,0,0,0,1,5,0,0,1,0,0,1
087,060871001001009,38,35,0,3,0,0,30,1,0,0,0,0,2,31,28,0,2,0,0,23,1,0,0,0,0,2,1,0,3,1,0,2
087,060871001001010,117,100,0,4,2,0,94,1,2,0,0,0,16,94,79,0,3,2,0,74,1,2,0,0,0,14,1,2,6,1,2,5
087,060871001001011,74,63,0,7,0,0,58,0,0,0,0,0,11,59,50,0,5,0,0,46,0,0,0,0,0,9,0,0,7,0,0,5
087,060871001001012,207,182,0,0,4,0,185,0,1,0,0,0,22,167,143,0,0,4,0,146,0,1,0,0,0,21,0,4,1,0,4,1
087,060871001001013,54,48,0,5,0,0,38,0,3,0,0,0,5,43,38,0,4,0,0,29,0,1,0,0,0,4,0,0,8,0,0,5
087,060871001001014,48,43,0,4,0,0,38,2,0,0,0,0,5,39,34,0,3,0,0,29,2,0,0,0,0,4,2,0,4,2,0,3
087,060871001001015,99,85,0,5,0,0,73,3,0,0,0,0,13,79,67,0,4,0,0,57,3,0,0,0,0,11,3,0,5,3,0,4
087,060871001001016,104,89,0,0,0,0,86,0,0,0,0,2,14,83,70,0,0,0,0,67,0,0,0,0,2,12,0,0,0,0,0,0
087,060871001001017,42,31,0,0,0,0,25,0,5,0,0,2,12,34,25,0,0,0,0,19,0,2,0,0,2,10,0,0,5,0,0,2
087,060871001001018,26,21,0,0,0,0,19,0,2,0,0,0,5,21,17,0,0,0,0,15,0,2,0,0,0,4,0,0,2,0,0,2
087,060871001001019,32,20,2,6,1,0,12,0,0,0,0,0,13,25,16,2,5,1,0,9,0,0,0,0,0,11,2,1,6,2,1,5
087,060871001001020,25,19,0,0,0,0,17,1,2,0,0,0,6,20,15,0,0,0,0,13,1,1,0,0,0,5,1,0,2,1,0,1
087,060871001001021,36,26,0,0,0,0,20,0,2,0,0,0,11,28,20,0,0,0,0,15,0,1,0,0,0,9,0,0,2,0,0,1
087,060871001001022,38,34,0,3,0,0,32,0,0,0,0,0,4,31,27,0,2,0,0,25,0,0,0,0,0,3,0,0,3,0,0,2
087,060871001001023,27,24,0,0,0,0,21,0,1,0,0,0,2,22,19,0,0,0,0,16,0,1,0,0,0,2,0,0,1,0,0,1
087,060871001001024,139,120,0,8,4,0,101,0,7,0,0,1,18,112,95,0,6,4,0,80,0,4,0,0,1,15,0,4,15,0,4,10
087,060871001001025,204,177,1,9,4,0,166,0,0,0,0,0,25,165,140,1,6,4,0,131,0,0,0,0,0,23,1,4,9,1,4,6
087,060871001001026,91,79,0,5,0,0,67,7,0,0,0,1,12,73,62,0,4,0,0,53,7,0,0,0,1,10,7,0,5,7,0,4
087,060871001001027,29,16,0,0,0,0,11,0,2,0,0,0,15,23,12,0,0,0,0,9,0,2,0,0,0,13,0,0,2,0,0,2
087,060871001001028,33,24,0,0,0,0,25,1,0,0,0,0,9,26,19,0,0,0,0,19,1,0,0,0,0,8,1,0,0,1,0,0
087,060871001001029,36,28,0,3,0,0,24,0,0,0,0,0,8,28,22,0,2,0,0,19,0,0,0,0,0,7,0,0,3,0,0,2
087,060871001001030,28,22,0,0,0,0,19,0,0,0,0,0,6,22,18,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0
087,060871001001031,31,24,0,4,0,0,14,2,2,0,0,1,7,25,19,0,3,0,0,11,2,2,0,0,1,6,2,0,6,2,0,5
087,060871001001032,48,39,0,2,0,0,36,1,1,0,0,0,9,39,31,0,1,0,0,28,1,1,0,0,0,8,1,0,3,1,0,2
087,060871001001033,43,28,0,0,0,0,27,1,0,0,0,0,18,35,22,0,0,0,0,21,1,0,0,0,0,15,1,0,0,1,0,0
087,060871001001034,23,18,0,0,0,0,16,0,0,0,0,0,6,18,14,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0
087,060871001001035,44,41,0,5,4,0,27,0,2,0,0,0,2,36,32,0,4,4,0,21,0,2,0,0,0,2,0,4,7,0,4,6
087,060871001001036,34,20,0,1,0,0,11,0,1,0,0,1,15,27,16,0,1,0,0,9,0,1,0,0,1,13,0,0,2,0,0,2
087,060871001001037,134,99,0,0,4,0,100,0,0,0,0,0,38,108,78,0,0,4,0,79,0,0,0,0,0,35,0,4,0,0,4,0
087,060871001001038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871001001039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871001001040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,060871002001000,10,5,0,1,0,0,3,0,0,0,0,0,4,8,5,0,1,0,0,2,0,0,0,0,0,3,0,0,1,0,0,1
087,060871002001001,245,226,0,5,1,0,200,0,0,9,0,0,39,196,193,0,5,1,0,177,0,0,9,0,0,26,0,10,5,0,10,5
