COUNTY20,BLOCK20,CIT_22,NH_CIT_22,NH_Ind_CIT_22,NH_Asn_CIT_22,NH_Blk_CIT_22,NH_Hwn_CIT_22,NH_Wht_CIT_22,NH_IndWht_CIT_22,NH_AsnWht_CIT_22,NH_BlkWht_CIT_22,NH_IndBlk_CIT_22,NH_OthMR_CIT_22,Hsp_CIT_22,CVAP_22,NH_CVAP_22,NH_Ind_CVAP_22,NH_Asn_CVAP_22,NH_Blk_CVAP_22,NH_Hwn_CVAP_22,NH_Wht_CVAP_22,NH_IndWht_CVAP_22,NH_AsnWht_CVAP_22,NH_BlkWht_CVAP_22,NH_IndBlk_CVAP_22,NH_OthMR_CVAP_22,Hsp_CVAP_22,DOJ_NH_Ind_CIT_22,DOJ_NH_Blk_CIT_22,DOJ_NH_Asn_CIT_22,DOJ_NH_Ind_CVAP_22,DOJ_NH_Blk_CVAP_22,DOJ_NH_Asn_CVAP_22
085,060855001001000,16,16,0,3,0,0,6,0,0,0,0,0,2,15,15,0,2,0,0,6,0,0,0,0,0,2,0,0,3,0,0,2
085,060855001001001,6,7,0,1,4,0,2,0,0,0,0,0,1,5,7,0,1,4,0,2,0,0,0,0,0,1,0,4,1,0,4,1
085,060855001001002,5,3,0,0,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
085,060855001001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
085,060855001001004,13,18,0,8,2,0,1,40,0,0,0,0,1,12,16,0,6,2,0,1,40,0,0,0,0,1,40,2,8,40,2,6
085,060855001001005,17,14,0,8,0,0,2,0,0,0,0,0,2,16,13,0,7,0,0,2,0,0,0,0,0,2,0,0,8,0,0,7
085,060855001001006,1,4,12,0,0,0,0,0,0,0,0,0,0,1,4,12,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0
085,060855001001007,23,21,0,5,7,0,4,0,0,0,0,0,3,22,19,0,4,7,0,4,0,0,0,0,0,3,0,7,5,0,7,4
085,060855001001008,40,24,0,8,0,0,7,0,0,0,0,0,6,37,22,0,7,0,0,7,0,0,0,0,0,6,0,0,8,0,0,7
085,060855001001009,38,42,0,19,14,0,7,0,0,0,0,0,4,36,39,0,15,14,0,7,0,0,0,0,0,4,0,14,19,0,14,15
085,060855001001010,32,23,0,8,0,0,6,0,0,0,0,0,5,30,22,0,6,0,0,6,0,0,0,0,0,5,0,0,8,0,0,6
085,060855001001011,31,31,0,13,0,0,10,0,0,0,0,0,4,29,28,0,10,0,0,10,0,0,0,0,0,4,0,0,13,0,0,10
085,060855001001012,41,33,6,15,0,0,6,10,0,0,0,0,6,39,30,6,12,0,0,6,10,0,0,0,0,6,16,0,15,16,0,12
085,060855001001013,22,19,12,7,0,0,4,0,0,0,0,0,3,21,18,12,6,0,0,4,0,0,0,0,0,3,12,0,7,12,0,6
085,060855001001014,16,7,0,2,0,0,1,0,0,0,0,0,3,15,7,0,2,0,0,1,0,0,0,0,0,3,0,0,2,0,0,2
085,060855001001015,9,6,0,3,4,0,0,0,0,0,0,0,1,8,6,0,2,4,0,0,0,0,0,0,0,1,0,4,3,0,4,2
085,060855001001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
085,060855001002000,224,248,0,101,17,0,50,0,44,0,0,7,26,167,215,0,86,17,0,50,0,6,0,0,7,14,0,17,145,0,17,92
085,060855001002001,91,31,0,9,0,0,22,0,0,0,0,0,46,67,27,0,8,0,0,21,0,0,0,0,0,23,0,0,9,0,0,8
085,060855001002002,66,40,0,14,0,0,16,0,0,0,0,1,24,50,35,0,12,0,0,15,0,0,0,0,1,13,0,0,14,0,0,12
085,060855001002003,48,13,0,3,3,0,5,0,0,0,0,1,26,36,11,0,2,3,0,5,0,0,0,0,1,14,0,3,3,0,3,2
085,060855001002004,55,65,0,20,14,0,31,0,0,0,0,0,4,41,56,0,17,14,0,30,0,0,0,0,0,2,0,14,20,0,14,17
085,060855001002005,45,27,0,5,0,0,24,0,4,0,0,1,17,34,24,0,4,0,0,23,0,1,0,0,1,9,0,0,9,0,0,5
085,060855001002006,76,27,0,7,2,0,20,0,0,0,0,0,39,57,23,0,6,2,0,20,0,0,0,0,0,21,0,2,7,0,2,6
085,060855001002007,62,33,0,5,0,0,36,0,0,0,0,0,25,47,29,0,4,0,0,36,0,0,0,0,0,13,0,0,5,0,0,4
