COUNTY20,BLOCK20,CIT_22,NH_CIT_22,NH_Ind_CIT_22,NH_Asn_CIT_22,NH_Blk_CIT_22,NH_Hwn_CIT_22,NH_Wht_CIT_22,NH_IndWht_CIT_22,NH_AsnWht_CIT_22,NH_BlkWht_CIT_22,NH_IndBlk_CIT_22,NH_OthMR_CIT_22,Hsp_CIT_22,CVAP_22,NH_CVAP_22,NH_Ind_CVAP_22,NH_Asn_CVAP_22,NH_Blk_CVAP_22,NH_Hwn_CVAP_22,NH_Wht_CVAP_22,NH_IndWht_CVAP_22,NH_AsnWht_CVAP_22,NH_BlkWht_CVAP_22,NH_IndBlk_CVAP_22,NH_OthMR_CVAP_22,Hsp_CVAP_22,DOJ_NH_Ind_CIT_22,DOJ_NH_Blk_CIT_22,DOJ_NH_Asn_CIT_22,DOJ_NH_Ind_CVAP_22,DOJ_NH_Blk_CVAP_22,DOJ_NH_Asn_CVAP_22
097,060971501001000,130,134,0,8,2,0,116,0,0,0,0,2,2,119,122,0,8,2,0,105,0,0,0,0,2,2,0,2,8,0,2,8
097,060971501001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001003,71,72,0,16,1,0,67,0,0,0,0,0,1,65,66,0,16,1,0,61,0,0,0,0,0,1,0,1,16,0,1,16
097,060971501001004,58,57,0,16,1,0,53,0,0,0,0,0,1,53,52,0,16,1,0,48,0,0,0,0,0,1,0,1,16,0,1,16
097,060971501001005,25,23,0,0,0,0,16,0,0,0,0,1,1,23,21,0,0,0,0,14,0,0,0,0,1,1,0,0,0,0,0,0
097,060971501001006,38,32,0,0,1,0,26,0,0,0,0,1,2,35,29,0,0,1,0,24,0,0,0,0,1,2,0,1,0,0,1,0
097,060971501001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001009,118,125,0,0,2,0,124,0,0,0,0,0,1,108,114,0,0,2,0,112,0,0,0,0,0,1,0,2,0,0,2,0
097,060971501001010,20,23,0,0,0,0,21,0,0,0,0,0,0,19,21,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001011,53,52,0,0,1,0,50,0,0,0,0,0,1,48,47,0,0,1,0,45,0,0,0,0,0,1,0,1,0,0,1,0
097,060971501001012,46,47,0,0,1,0,36,0,0,0,0,2,1,42,42,0,0,1,0,32,0,0,0,0,2,1,0,1,0,0,1,0
097,060971501001013,53,54,0,16,1,0,49,0,0,0,0,0,1,48,50,0,16,1,0,44,0,0,0,0,0,1,0,1,16,0,1,16
097,060971501001014,26,24,0,0,0,0,24,0,0,0,0,0,1,24,22,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0
097,060971501001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001016,41,41,0,0,1,0,38,0,0,0,0,0,1,37,38,0,0,1,0,35,0,0,0,0,0,1,0,1,0,0,1,0
097,060971501001017,56,61,0,0,1,0,57,0,0,0,0,0,0,52,56,0,0,1,0,51,0,0,0,0,0,0,0,1,0,0,1,0
097,060971501001018,79,78,0,0,1,0,70,0,0,0,0,1,2,73,72,0,0,1,0,63,0,0,0,0,1,2,0,1,0,0,1,0
097,060971501001019,106,98,0,0,2,0,81,0,0,0,0,1,3,97,90,0,0,2,0,73,0,0,0,0,1,3,0,2,0,0,2,0
097,060971501001020,13,9,0,0,0,0,4,0,0,0,0,1,1,12,8,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0
097,060971501001021,34,19,0,16,0,0,11,0,0,0,0,0,3,31,17,0,16,0,0,10,0,0,0,0,0,3,0,0,16,0,0,16
097,060971501001022,126,133,0,0,2,0,128,0,0,0,0,0,1,116,122,0,0,2,0,116,0,0,0,0,0,1,0,2,0,0,2,0
097,060971501001023,47,45,0,0,1,0,38,0,0,0,0,1,1,43,41,0,0,1,0,35,0,0,0,0,1,1,0,1,0,0,1,0
097,060971501001024,22,17,0,0,0,0,16,0,0,0,0,0,1,20,16,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0
097,060971501001025,16,9,0,0,0,0,7,0,0,0,0,0,1,14,8,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
097,060971501001026,17,9,0,0,0,0,9,0,0,0,0,0,2,15,8,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0
097,060971501001027,29,22,0,0,0,0,18,0,0,0,0,0,2,26,20,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0
097,060971501001028,70,77,0,38,1,0,67,0,0,0,0,0,0,64,70,0,38,1,0,61,0,0,0,0,0,0,0,1,38,0,1,38
097,060971501001029,20,20,0,0,0,0,20,0,0,0,0,0,0,19,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0
097,060971501001030,47,50,0,0,1,0,50,0,0,0,0,0,0,43,46,0,0,1,0,45,0,0,0,0,0,0,0,1,0,0,1,0
