COUNTY20,BLOCK20,CIT_22,NH_CIT_22,NH_Ind_CIT_22,NH_Asn_CIT_22,NH_Blk_CIT_22,NH_Hwn_CIT_22,NH_Wht_CIT_22,NH_IndWht_CIT_22,NH_AsnWht_CIT_22,NH_BlkWht_CIT_22,NH_IndBlk_CIT_22,NH_OthMR_CIT_22,Hsp_CIT_22,CVAP_22,NH_CVAP_22,NH_Ind_CVAP_22,NH_Asn_CVAP_22,NH_Blk_CVAP_22,NH_Hwn_CVAP_22,NH_Wht_CVAP_22,NH_IndWht_CVAP_22,NH_AsnWht_CVAP_22,NH_BlkWht_CVAP_22,NH_IndBlk_CVAP_22,NH_OthMR_CVAP_22,Hsp_CVAP_22,DOJ_NH_Ind_CIT_22,DOJ_NH_Blk_CIT_22,DOJ_NH_Asn_CIT_22,DOJ_NH_Ind_CVAP_22,DOJ_NH_Blk_CVAP_22,DOJ_NH_Asn_CVAP_22
013,060133010001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,060133010001001,8,5,0,0,0,0,3,0,0,0,0,0,2,7,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
013,060133010001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,060133010001003,9,8,0,0,0,0,4,0,0,0,0,0,1,8,7,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
013,060133010001004,12,5,0,0,0,0,4,0,0,0,0,0,4,11,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
013,060133010001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,060133010001006,71,44,0,8,0,0,41,0,0,0,0,0,16,63,39,0,8,0,0,36,0,0,0,0,0,16,0,0,8,0,0,8
013,060133010001007,107,107,0,2,0,0,102,0,0,0,0,0,6,96,94,0,2,0,0,87,0,0,0,0,0,6,0,0,2,0,0,2
013,060133010001008,139,145,0,21,1,0,127,0,0,0,0,0,6,125,128,0,21,1,0,108,0,0,0,0,0,6,0,1,21,0,1,21
013,060133010001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,060133010001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,060133010001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
013,060133010001012,26,21,0,0,0,0,16,0,0,0,0,0,3,23,19,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0
013,060133010001013,9,7,0,0,0,0,5,0,0,0,0,0,1,8,6,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
