,Total voting-age population,Census tract,Voters in 2022,Voting-age residents who voted in 2022 (%),American Indian or Alaska Native (%),Asian (%),Black (%),Native Hawaiian or other Pacific Islander (%),White (%),Hispanic or Latino (%),Mixed race (%),Place,Below poverty level (%)
0,2955,06047000802,1074,36.3,0.1,6.3,3.5,0.0,41.2,46.1,3.0,"Buhach, Atwater, Merced County",12.4
1,1671,06085501402,490,29.3,0.0,8.1,2.1,0.0,41.7,46.9,1.3,"San Jose, Little Portugal, Santa Clara County",11.7
2,2847,06047001003,537,18.9,0.0,10.2,12.5,0.0,29.4,42.0,6.2,"Merced, Merced County",30.3
3,2324,06047001401,698,30.0,0.2,2.6,7.1,1.1,38.2,47.9,2.8,"Merced, Merced County",34.3
4,2842,06047001402,1287,45.3,0.0,12.9,5.6,0.0,43.5,37.1,1.2,Merced County,25.5
5,1556,06047001501,469,30.1,4.5,9.0,2.7,7.4,10.3,64.8,1.2,"Merced, Merced County",8.3
6,1487,06047001601,217,14.6,0.0,7.4,10.0,0.0,9.8,69.7,2.4,"Merced, Merced County",37.8
7,1965,06013392000,1634,83.2,1.2,11.2,3.0,0.0,74.1,4.2,5.8,"Kensington, Contra Costa County",4.1
8,3878,06013351200,3515,90.6,0.0,6.9,0.1,0.0,85.8,5.6,1.5,"Lafayette, Burton Valley, Contra Costa County",3.8
9,1654,06085508102,874,52.8,0.1,44.1,1.6,0.0,44.4,6.5,3.3,"Cupertino, Santa Clara County",3.6
10,2766,06047001004,889,32.1,0.4,5.2,9.1,0.0,37.6,42.6,5.1,"Merced, Merced County",26.0
11,1579,06047001005,398,25.2,0.6,8.9,7.0,0.0,35.3,44.6,3.4,"Merced, Merced County",24.8
12,4989,06047001101,1905,38.2,0.7,3.9,2.2,0.0,52.0,39.9,1.3,"Merced, Merced County",12.2
13,3520,06047001200,1668,47.4,0.6,5.5,2.2,0.0,44.2,45.3,2.1,"Merced, Merced County",10.6
14,2322,06047001301,638,27.5,3.0,1.5,1.4,0.0,43.3,50.3,0.7,"Merced, Merced County",29.3
15,1832,06047001302,495,27.0,0.0,2.2,4.2,0.0,25.3,65.0,3.6,"Merced, Merced County",38.2
16,3850,06047001700,989,25.7,0.0,5.8,3.7,0.0,40.2,48.5,1.7,"Merced, Merced County",35.6
17,4184,06047001801,1324,31.6,0.0,14.7,5.4,0.0,26.2,50.0,3.7,Merced County,16.8
18,3170,06047002201,960,30.3,0.0,1.5,1.4,0.0,40.7,55.3,1.3,"Los Banos, Merced County",22.3
19,4710,06085504505,1666,35.4,0.0,66.6,3.3,0.0,14.7,13.1,2.2,"Milpitas, Santa Clara County",5.0
20,1883,06085503903,716,38.0,0.2,49.5,0.5,0.0,14.2,34.3,0.7,"San Jose, Alum Rock, Santa Clara County",10.3
21,2334,06013386000,1055,45.2,0.2,29.6,9.0,1.7,38.6,16.8,3.5,"El Cerrito, Contra Costa County",17.2
22,1447,06013354001,1041,71.9,0.0,11.1,0.1,0.0,80.9,5.3,2.8,"Orinda, Contra Costa County",2.6
23,2848,06013318000,1505,52.8,0.0,6.0,3.8,0.0,74.7,13.8,2.1,"Ozol, Contra Costa County",8.4
24,3839,06013314200,889,23.2,0.3,5.6,2.1,0.0,21.9,67.7,2.4,"Nichols, Bay Point, Contra Costa County",22.3
25,3007,06013357000,1450,48.2,0.0,3.7,7.7,0.0,71.1,15.0,2.2,"Port Costa, Contra Costa County",6.7
26,2226,06013337100,1443,64.8,0.0,14.6,6.8,0.0,50.3,23.0,5.5,"Concord, Contra Costa County",4.9
27,5813,06013363000,2345,40.3,0.0,21.6,21.3,0.0,34.8,18.2,4.1,"Richmond, Contra Costa County",6.8
28,5081,06013321101,3061,60.2,0.4,8.1,3.2,0.0,61.4,18.8,8.1,"Martinez, Contra Costa County",4.7
29,2213,06013320001,1082,48.9,0.0,5.0,0.6,0.0,73.9,16.0,4.5,"Vine Hill, Contra Costa County",6.2
30,5432,06013307205,1406,25.9,0.0,5.8,21.8,0.0,37.3,29.0,6.3,"Antioch, Contra Costa County",9.8
31,2591,06013355302,1823,70.4,0.9,25.9,1.2,0.6,66.0,2.3,3.0,"Walnut Creek, Contra Costa County",2.3
32,3260,06013307101,1240,38.0,0.0,10.1,15.5,0.0,43.4,29.6,1.4,"Antioch, Contra Costa County",18.8
33,3462,06013341000,2772,80.1,0.4,17.2,4.2,0.0,67.2,5.7,4.9,"Saranap, Contra Costa County",4.3
34,2479,06013385100,1653,66.7,0.0,25.8,4.7,0.0,53.5,10.7,5.2,"El Cerrito, Contra Costa County",9.6
35,2445,06013365002,556,22.7,0.0,8.0,29.7,5.5,6.6,44.3,5.4,"Richmond, Contra Costa County",16.6
36,2365,06013307201,506,21.4,0.0,0.8,13.1,0.0,37.5,41.1,7.4,"Antioch, Contra Costa County",18.3
37,5239,06013308001,1974,37.7,0.0,14.7,9.2,0.0,34.8,38.9,2.2,"Antioch, Contra Costa County",6.1
38,2074,06013307202,393,18.9,0.0,3.6,41.5,6.5,25.1,19.1,4.1,"Antioch, Contra Costa County",27.6
39,3438,06095250801,981,28.5,0.0,12.5,24.8,0.0,31.9,24.3,6.4,"Guadalcanal Village, Solano County",7.8
40,4286,06095252915,2362,55.1,0.0,16.1,8.4,2.0,48.6,19.1,5.7,Solano County,1.0
41,3469,06095252314,1068,30.8,0.0,7.2,31.6,1.4,41.4,12.9,5.4,"Fairfield, Solano County",7.3
42,2512,06085506703,1339,53.3,0.0,29.5,0.8,0.0,56.8,8.0,5.5,"Campbell, San Tomas, Santa Clara County",4.9
43,5357,06013359202,2652,49.5,0.5,20.2,6.9,0.1,39.3,27.4,5.9,"Pinole, Contra Costa County",3.3
44,3031,06085504802,1298,42.8,0.0,35.8,0.7,1.2,31.5,28.6,2.2,"Sunnyvale, Santa Clara County",6.8
45,2043,06085505402,905,44.3,0.2,47.0,1.0,0.0,32.1,16.5,3.4,"Santa Clara, Santa Clara County",5.5
46,2454,06085508601,1305,53.2,0.0,50.1,0.0,0.0,35.1,13.5,1.2,"Sunnyvale, Santa Clara County",5.2
47,2027,06085507807,1035,51.1,0.0,72.5,0.0,1.0,23.5,3.0,0.2,"Cupertino, Santa Clara County",0.6
48,2988,06085508301,1952,65.3,0.0,35.3,1.4,0.0,57.1,5.7,0.5,"Sunnyvale, Santa Clara County",0.6
49,3048,06085506000,1590,52.2,0.0,28.4,0.4,0.0,53.4,15.2,2.6,"Santa Clara, Santa Clara County",6.7
50,2660,06001410000,1545,58.1,0.6,7.9,45.1,2.1,35.3,4.7,4.1,"Oakland, Alameda County",4.1
51,3344,06085507903,1811,54.2,0.0,75.8,0.3,0.0,20.3,2.1,1.6,"San Jose, Santa Clara County",1.6
52,2114,06085507904,1469,69.5,0.0,69.1,1.5,0.0,25.1,1.8,2.6,"San Jose, Santa Clara County",0.3
53,3092,06085504412,922,29.8,0.0,66.6,0.8,0.6,11.1,16.9,3.9,"Milpitas, Santa Clara County",6.7
54,1378,06085504413,497,36.1,0.0,79.1,1.2,0.0,10.9,4.5,4.4,"Milpitas, Santa Clara County",9.6
55,2914,06085506606,1348,46.3,0.0,32.6,2.2,0.0,46.2,16.0,3.0,"Campbell, Santa Clara County",7.6
56,3610,06085504506,1321,36.6,0.6,70.5,1.7,0.0,12.8,12.4,2.5,"Milpitas, Santa Clara County",7.0
57,3699,06085504507,1597,43.2,1.5,55.3,4.5,0.7,18.8,16.1,3.1,"Milpitas, Santa Clara County",7.0
58,2959,06085506701,1574,53.2,0.0,40.3,0.4,0.0,49.0,8.0,2.2,"Campbell, San Tomas, Santa Clara County",3.1
59,2574,06085508203,1787,69.4,0.2,43.1,0.2,0.0,47.1,2.8,6.6,"Sunnyvale, Santa Clara County",2.0
60,3349,06013308002,1557,46.5,0.0,13.1,22.6,0.7,32.4,26.8,4.4,"Newlove, Antioch, Contra Costa County",8.6
61,3361,06085506702,1857,55.3,0.0,24.1,3.1,0.0,50.3,18.2,3.9,"Campbell, San Tomas, Santa Clara County",6.2
62,3290,06013343002,2199,66.8,0.0,9.1,2.5,0.0,74.3,7.6,6.4,"Walnut Creek, Contra Costa County",10.0
63,3336,06013348000,2640,79.1,0.0,7.5,0.1,0.0,87.1,3.2,2.2,"Lafayette, Contra Costa County",3.2
64,3002,06013352101,1328,44.2,0.1,15.2,3.5,0.5,62.1,12.5,6.0,"Moraga, Contra Costa County",3.5
65,5017,06085504805,2065,41.2,0.0,34.3,0.1,0.0,45.1,17.9,2.8,"Sunnyvale, Santa Clara County",6.5
66,2110,06085504806,687,32.6,0.0,38.0,0.8,1.7,26.9,27.9,4.8,"Sunnyvale, Santa Clara County",4.7
67,2775,06085505007,953,34.3,0.0,40.2,8.2,1.1,31.2,17.2,2.1,"Santa Clara, Santa Clara County",13.5
68,4244,06085505203,871,20.5,0.0,21.7,3.8,0.3,56.0,14.7,3.5,"Santa Clara, Santa Clara County",29.2
69,2441,06085508204,1343,55.0,0.0,43.7,1.6,0.0,42.9,7.8,3.9,"Sunnyvale, Santa Clara County",5.8
70,2730,06085508505,1324,48.5,1.7,33.0,1.0,0.0,47.6,13.8,3.1,"Sunnyvale, Santa Clara County",6.7
71,2612,06085505301,1097,42.0,0.0,42.6,0.0,0.0,35.7,18.6,2.7,"Santa Clara, Santa Clara County",3.3
72,2843,06085505302,1381,48.6,0.0,32.5,3.0,1.2,44.4,13.9,5.1,"Santa Clara, Santa Clara County",7.2
73,2239,06085505304,1128,50.4,0.0,42.9,1.0,0.0,34.7,20.5,1.1,"Santa Clara, Santa Clara County",5.8
74,3485,06085505305,1613,46.3,0.0,36.6,0.1,0.0,48.7,14.8,0.0,"Santa Clara, Santa Clara County",2.9
75,3049,06085505401,1204,39.5,0.0,34.9,5.0,0.0,39.1,15.3,5.4,"Santa Clara, Santa Clara County",10.3
76,3027,06013384000,2312,76.4,0.1,18.2,5.2,0.0,64.2,6.0,6.4,"El Cerrito, Contra Costa County",1.8
77,4417,06013305000,984,22.3,0.7,4.9,16.8,0.0,33.6,40.5,3.5,"Antioch, Contra Costa County",22.7
78,3999,06085505403,1657,41.4,0.0,37.4,0.1,1.8,39.0,16.7,5.2,"Santa Clara, Santa Clara County",7.7
79,2991,06085505500,1388,46.4,0.0,29.3,2.2,0.0,39.0,22.1,7.5,"Santa Clara, Santa Clara County",6.8
80,3423,06085505600,926,27.1,0.3,17.4,2.7,0.0,61.1,14.9,3.8,"Santa Clara, Santa Clara County",12.9
81,3129,06085505800,1521,48.6,0.0,19.0,1.6,0.5,56.7,21.1,1.2,"San Jose, Santa Clara County",4.8
82,4213,06085506803,2432,57.7,0.0,20.3,3.9,0.0,60.5,14.5,0.7,"San Jose, Santa Clara County",6.0
83,1998,06085507806,1279,64.0,0.0,67.1,0.1,0.0,27.6,1.5,3.8,"Cupertino, Santa Clara County",7.7
84,1846,06085508303,1202,65.1,0.0,46.3,0.0,0.0,46.6,4.6,2.7,"Sunnyvale, Santa Clara County",2.4
85,2704,06085506101,1733,64.1,0.0,33.7,5.1,0.0,48.6,11.4,1.5,"Santa Clara, Santa Clara County",3.3
86,2610,06085506102,1460,55.9,0.2,30.8,0.6,0.6,46.2,16.4,5.2,"Santa Clara, Santa Clara County",5.1
87,3503,06085507808,2039,58.2,0.0,70.2,0.1,0.3,23.9,2.8,2.8,"Seven Springs, Cupertino, Santa Clara County",3.6
88,2625,06085506103,1549,59.0,0.0,44.4,2.7,2.9,36.8,7.1,6.1,"Santa Clara, Santa Clara County",6.4
89,2725,06085506203,989,36.3,1.7,39.3,1.9,0.0,28.5,26.3,2.6,"San Jose, Santa Clara County",9.2
90,3311,06085506204,1786,53.9,0.1,56.5,3.6,0.0,29.2,7.9,2.7,"San Jose, Santa Clara County",3.5
91,3583,06085506301,1261,35.2,0.1,24.3,6.9,0.0,48.0,10.6,10.2,"San Jose, Santa Clara County",6.8
92,5586,06001430200,3283,58.8,1.2,24.9,4.3,0.0,57.7,8.9,3.1,"Castro Valley, Alameda County",5.1
93,2365,06001407900,1427,60.3,0.4,15.6,11.6,0.0,56.7,9.1,6.3,"Oakland, Alameda County",1.3
94,3510,06001436601,901,25.7,0.0,17.0,17.1,0.1,18.8,44.5,2.5,"Hayward, Alameda County",13.0
95,4245,06001401400,940,22.1,0.0,15.1,32.4,0.0,29.2,18.1,5.2,"Oakland, Alameda County",30.3
96,3185,06001400500,1784,56.0,0.1,8.3,27.9,0.1,43.2,13.7,6.2,"Oakland, Alameda County",10.4
97,2817,06001451102,2156,76.5,0.0,8.9,0.7,0.0,80.0,8.6,2.0,"Livermore, Alameda County",2.7
98,4324,06085508401,2407,55.7,0.1,31.9,2.4,0.1,45.2,14.8,5.8,"Sunnyvale, Santa Clara County",2.0
99,3783,06085508404,2233,59.0,0.0,37.5,3.3,0.7,50.6,6.4,1.9,"Sunnyvale, Santa Clara County",6.0
100,2907,06001432800,1525,52.5,1.5,30.1,5.8,0.0,47.1,13.5,1.9,"San Leandro, Alameda County",1.9
101,3667,06001441503,1599,43.6,1.5,78.5,0.5,1.0,9.8,6.7,1.8,"Fremont, Alameda County",4.1
102,3457,06001435400,998,28.9,0.5,14.5,19.6,1.2,29.8,27.1,7.5,"Hayward, Alameda County",16.8
103,2498,06001438000,911,36.5,0.0,32.2,13.1,0.4,33.7,18.6,1.8,"Hayward, Alameda County",3.6
104,5211,06001451201,2477,47.5,0.2,12.5,2.4,0.6,54.2,23.4,6.7,"Livermore, Alameda County",7.1
105,4057,06001451202,2033,50.1,0.1,25.1,1.9,0.1,47.0,18.9,6.9,"Livermore, Alameda County",2.4
106,2656,06001409000,548,20.6,0.0,10.2,46.8,0.0,5.3,36.8,0.8,"Oakland, Alameda County",15.4
107,2433,06085508503,1232,50.6,2.3,30.0,0.3,0.0,43.4,21.2,2.9,"Sunnyvale, Santa Clara County",3.3
108,2223,06001401500,684,30.8,0.2,2.5,54.8,0.0,28.6,11.7,2.7,"Oakland, West Oakland, Alameda County",17.2
109,3715,06085504414,1653,44.5,0.0,79.6,0.6,0.0,13.4,3.8,2.4,"Milpitas, Santa Clara County",10.6
110,3035,06085504415,1606,52.9,0.4,66.8,3.2,0.0,19.4,9.5,1.2,"Milpitas, Santa Clara County",4.2
111,1831,06085504416,1032,56.4,0.0,67.2,0.6,0.0,19.8,11.9,0.7,"Milpitas, Santa Clara County",5.9
112,1948,06001402400,699,35.9,1.0,12.6,58.8,0.0,12.9,5.7,8.9,"Oakland, West Oakland, Alameda County",20.0
113,2396,06085504418,937,39.1,0.0,50.3,6.3,0.0,10.7,31.4,1.4,"Milpitas, Santa Clara County",6.3
114,3455,06085504421,1512,43.8,0.0,58.2,3.8,0.0,19.4,10.0,8.3,"Milpitas, Santa Clara County",7.0
115,3241,06085507905,1480,45.7,0.0,57.1,3.1,0.0,27.9,10.9,1.0,"San Jose, Santa Clara County",9.0
116,2310,06085504422,939,40.6,0.0,61.7,2.3,0.0,10.1,22.3,3.8,"Milpitas, Santa Clara County",9.1
117,3982,06041106001,1414,35.5,0.4,4.8,0.9,0.0,71.1,19.5,3.2,"Saint Vincent, Marin County",1.8
118,2663,06001438300,686,25.8,0.0,49.0,9.3,1.8,7.7,31.4,0.9,"Hayward, Alameda County",4.7
119,1565,06001401600,615,39.3,1.9,10.2,35.9,1.6,27.5,16.7,6.0,"Oakland, West Oakland, Alameda County",16.2
120,1740,06001402200,702,40.3,0.6,10.3,25.6,0.0,39.1,21.4,2.8,"Oakland, West Oakland, Alameda County",19.2
121,1391,06001402500,297,21.4,0.0,16.9,56.6,0.0,10.1,7.9,8.5,"Oakland, West Oakland, Alameda County",27.6
122,893,06001402600,344,38.5,0.4,30.9,42.8,0.0,14.0,6.2,5.6,"Oakland, Downtown Oakland, Alameda County",18.0
123,1702,06001402700,441,25.9,0.0,14.1,39.4,0.0,32.3,12.7,1.3,"Oakland, Downtown Oakland, Alameda County",19.1
124,1925,06001403000,868,45.1,0.8,76.4,1.1,2.3,9.9,2.6,6.8,"Oakland, Downtown Oakland, Alameda County",30.4
125,1598,06001403100,531,33.2,0.0,21.9,18.3,0.9,42.9,13.8,2.1,"Oakland, Downtown Oakland, Alameda County",16.2
126,2884,06085506304,920,31.9,0.0,26.0,10.7,0.0,38.2,24.6,0.6,"San Jose, Santa Clara County",12.3
127,3557,06085506305,1152,32.4,0.0,25.4,9.5,1.3,37.7,24.2,1.8,"San Jose, Santa Clara County",13.7
128,2973,06085506401,1228,41.3,0.0,19.2,2.8,0.0,47.1,23.0,7.7,"San Jose, Santa Clara County",7.1
129,1346,06001404501,1054,78.3,0.0,9.3,4.9,1.9,73.6,4.8,5.9,"Oakland, Alameda County",1.3
130,3261,06001403800,1920,58.9,0.1,12.1,12.2,0.1,66.1,5.6,3.6,"Oakland, Alameda County",5.7
131,3084,06001403900,1829,59.3,0.5,11.7,11.3,0.0,67.4,8.8,0.3,"Oakland, Alameda County",8.9
132,2546,06001404000,1492,58.6,0.0,12.8,13.8,0.2,57.1,12.8,3.5,"Oakland, Alameda County",10.9
133,3561,06085506402,1493,41.9,0.0,17.8,4.0,0.2,54.6,21.4,2.1,"San Jose, Santa Clara County",5.7
134,4042,06085506503,1984,49.1,0.0,23.6,1.3,0.0,60.4,13.1,1.7,"Campbell, Santa Clara County",7.1
135,2880,06085507906,1591,55.2,0.1,73.0,0.2,0.1,22.9,2.5,1.4,"San Jose, Santa Clara County",2.4
136,2119,06099002402,387,18.3,0.0,0.5,1.4,0.0,9.3,87.1,1.9,"Modesto, Stanislaus County",37.7
137,2515,06085506601,1380,54.9,0.0,37.4,1.2,0.0,42.3,16.5,2.3,"San Jose, Santa Clara County",3.1
138,2577,06085506603,1619,62.8,0.0,23.3,0.2,0.0,61.8,9.3,4.9,"San Jose, Santa Clara County",6.9
139,2632,06085506605,1221,46.4,0.0,19.5,5.4,0.0,57.1,13.7,4.2,"San Jose, Santa Clara County",7.2
140,1665,06001400600,770,46.2,0.2,7.5,28.8,0.9,48.0,6.3,7.7,"Oakland, North Oakland, Alameda County",8.6
141,2353,06001400100,1633,69.4,0.0,15.9,6.6,0.0,71.4,3.8,2.3,"Oakland, Alameda County",4.4
142,3442,06085508101,1996,58.0,0.0,60.9,0.1,0.0,34.3,3.5,1.3,"Cupertino, Santa Clara County",0.5
143,6117,06001450701,3581,58.5,0.1,40.0,1.4,0.4,49.1,7.3,1.8,Alameda County,3.3
144,4033,06001403600,1776,44.0,0.6,9.8,20.9,0.0,44.3,14.7,9.8,"Oakland, Downtown Oakland, Alameda County",11.8
145,3580,06001435300,1065,29.7,1.1,18.9,15.9,0.4,29.0,28.7,6.0,"Hayward, Alameda County",8.6
146,2772,06001409800,1125,40.6,0.0,7.4,53.8,0.0,18.3,13.6,6.9,"Oakland, Alameda County",10.4
147,2598,06001440306,825,31.8,0.6,63.7,8.5,2.7,10.4,11.0,3.1,"Union City, Alvarado, Alameda County",7.5
148,2691,06001450601,1593,59.2,1.1,33.8,0.9,0.0,55.2,6.2,2.7,"Hayward, Alameda County",2.0
149,3673,06001435700,1140,31.0,0.5,22.6,3.4,0.5,26.6,41.6,4.8,"San Lorenzo, Alameda County",5.7
150,1976,06001442000,1375,69.6,0.0,69.3,0.2,0.8,22.8,6.3,0.8,"Fremont, Mission San Jose District, Alameda County",5.5
151,4442,06001426100,3669,82.6,0.0,23.2,0.0,0.0,72.4,2.6,1.8,"Oakland, Alameda County",1.2
152,2060,06001433700,594,28.8,0.2,23.1,4.1,3.2,14.4,48.2,7.5,"Ashland, Alameda County",21.0
153,1801,06001437500,471,26.2,0.0,15.0,8.9,13.0,16.4,42.7,3.4,"Hayward, Alameda County",19.0
154,3390,06001441100,1564,46.1,0.0,36.4,0.2,0.0,43.7,14.5,5.3,"Union City, Alameda County",8.9
155,4279,06001451503,2523,59.0,0.2,15.4,0.8,0.1,60.5,19.5,3.2,"Livermore, Alameda County",3.1
156,5492,06001408100,3484,63.4,0.2,22.9,29.9,0.0,36.5,7.1,3.4,"Oakland, Alameda County",5.0
157,3432,06001450742,2097,61.1,0.0,16.5,0.3,0.0,64.5,12.8,6.0,"Livermore, Alameda County",1.2
158,4739,06001404502,3525,74.4,0.0,15.8,6.1,0.0,69.4,4.4,4.3,"Oakland, Alameda County",1.5
159,5044,06001440301,1864,37.0,0.0,23.4,6.5,1.2,32.2,33.4,3.4,"Union City, Decoto, Alameda County",4.7
160,2925,06001406800,1644,56.2,0.5,20.5,16.1,0.1,36.9,22.2,3.1,"Oakland, Oakland Hills, Alameda County",5.3
161,4425,06001430500,1578,35.7,0.3,19.3,31.5,0.1,30.4,15.2,2.9,"San Leandro, Alameda County",9.1
162,1833,06001422000,920,50.2,0.0,15.8,5.3,1.1,62.5,6.3,9.1,"Berkeley, Alameda County",7.8
163,4172,06001442200,2474,59.3,0.2,70.7,1.7,0.0,19.0,6.7,1.8,"Fremont, Alameda County",2.3
164,2122,06001436402,1377,64.9,0.0,16.0,15.8,0.0,47.6,19.1,1.6,"Fairview, Alameda County",1.8
165,2215,06001431100,836,37.7,0.2,12.2,30.6,2.0,31.2,20.0,3.8,"Castro Valley, Alameda County",4.6
166,2727,06001421200,2416,88.6,0.0,21.1,1.0,0.0,73.9,1.4,2.3,"Berkeley, Alameda County",0.3
167,7380,06001422800,452,6.1,0.1,35.8,5.8,0.8,30.8,20.3,6.2,"Berkeley, Alameda County",61.6
168,2784,06001405000,1848,66.4,0.0,14.7,16.0,0.0,56.8,9.2,3.2,"Oakland, Alameda County",4.2
169,3369,06001435200,1557,46.2,0.7,23.6,27.3,0.1,28.6,16.2,3.4,"Fairview, Alameda County",5.6
170,1534,06001410300,405,26.4,0.0,3.2,33.1,0.3,4.8,56.8,1.2,"Oakland, Alameda County",16.1
171,3090,06001409900,1888,61.1,0.0,6.1,48.8,0.0,22.5,12.0,10.5,"Oakland, Alameda County",3.8
172,2185,06001423200,1011,46.3,0.5,3.2,19.4,0.0,43.2,32.1,1.4,"Berkeley, Alameda County",17.0
173,3903,06085511100,2723,69.8,0.0,42.5,0.4,0.1,51.9,2.9,2.4,"Palo Alto, Santa Clara County",3.4
174,120,06075980501,31,25.8,0.0,100.0,0.0,0.0,0.0,0.0,0.0,San Francisco,82.9
175,2341,06085510400,1664,71.1,0.2,40.8,0.0,0.0,54.8,2.5,1.7,"Los Altos, Santa Clara County",2.0
176,2949,06085510700,1713,58.1,0.0,42.3,1.6,0.0,49.0,5.5,1.6,"Palo Alto, Santa Clara County",2.7
177,2141,06001400900,955,44.6,0.0,5.6,24.5,0.0,47.6,13.8,8.6,"Oakland, Alameda County",4.9
178,3704,06001400700,1966,53.1,2.3,8.4,23.3,0.0,51.1,8.8,6.3,"Oakland, North Oakland, Alameda County",10.0
179,3471,06001400800,1502,43.3,0.0,11.8,18.1,0.3,55.5,8.8,5.6,"Oakland, Alameda County",11.1
180,5137,06001451602,2877,56.0,0.0,1.3,2.9,0.0,76.1,15.3,4.3,"Livermore, Alameda County",3.9
181,1681,06001400200,1126,67.0,0.0,14.0,2.4,0.0,73.5,3.8,5.8,"Oakland, North Oakland, Alameda County",7.5
182,2196,06085509106,1015,46.2,0.7,28.2,1.6,0.0,50.8,13.8,4.6,"Sunnyvale, Santa Clara County",11.3
183,2619,06085509108,1154,44.1,0.0,32.1,8.2,0.0,37.6,20.5,1.5,"Mountain View, Santa Clara County",5.9
184,3314,06085510801,2568,77.5,0.0,36.5,6.1,0.0,47.1,3.8,6.8,"Palo Alto, Santa Clara County",2.2
185,1288,06085510802,937,72.7,0.0,29.1,0.1,0.0,62.1,2.4,6.2,"Palo Alto, Santa Clara County",6.7
186,1994,06085510803,1075,53.9,0.0,34.6,1.0,0.0,50.4,12.7,1.0,"Palo Alto, Santa Clara County",8.6
187,3368,06085510900,2148,63.8,0.0,34.3,3.2,0.0,54.7,2.8,4.9,"Palo Alto, Santa Clara County",3.7
188,4038,06085511000,2449,60.6,0.0,43.7,1.6,0.0,44.7,5.7,4.0,"Palo Alto, Santa Clara County",1.1
189,3139,06001421300,2630,83.8,0.1,15.8,0.4,0.0,77.0,2.4,3.8,"Berkeley, Alameda County",5.5
190,3556,06001450741,1979,55.7,1.4,21.1,0.8,0.1,57.1,14.7,5.2,"Pleasanton, Alameda County",15.7
191,2149,06085512025,1261,58.7,0.0,27.7,2.8,0.0,43.1,22.5,4.0,"San Jose, Santa Clara County",0.8
192,2659,06085512026,1078,40.5,0.0,33.3,6.3,0.0,26.9,29.2,4.1,"San Jose, Santa Clara County",3.5
193,3353,06085509109,1640,48.9,0.6,28.5,0.0,0.0,44.9,21.1,4.5,"Mountain View, Santa Clara County",4.7
194,3859,06085509201,1516,39.3,0.3,27.5,3.9,0.0,54.7,9.5,4.3,"Mountain View, Santa Clara County",1.4
195,4417,06001400300,2889,65.4,0.5,10.1,10.8,0.0,65.4,9.2,4.1,"Oakland, North Oakland, Alameda County",7.1
196,4401,06001451300,2619,59.5,0.0,6.6,1.9,0.8,65.4,19.4,5.9,"Livermore, Alameda County",3.0
197,2251,06085511400,1725,76.6,0.0,25.8,0.2,0.0,66.4,4.0,4.0,"Palo Alto, Santa Clara County",3.2
198,3194,06085512024,1419,44.4,0.5,17.5,4.0,0.0,54.3,18.4,5.1,"Robertsville, San Jose, Santa Clara County",9.9
199,3129,06001406000,814,26.0,0.6,43.5,23.6,0.0,17.8,13.8,0.6,"Oakland, Downtown Oakland, Alameda County",12.7
200,1220,06001423902,730,59.8,0.0,14.3,5.7,0.0,72.1,4.9,2.2,"Berkeley, Alameda County",16.9
201,2420,06001443200,1487,61.4,1.0,73.6,0.4,0.4,22.3,1.0,1.2,"Fremont, Alameda County",2.9
202,2881,06001404200,2074,72.0,0.3,9.5,4.5,0.7,73.8,6.6,4.2,"Oakland, Alameda County",2.9
203,3006,06085512027,1105,36.8,0.0,27.3,1.1,0.0,46.6,22.7,2.5,"San Jose, Santa Clara County",6.0
204,3537,06001427900,2074,58.6,0.0,26.0,0.8,0.0,54.3,12.0,7.4,"Alameda, Alameda County",6.2
205,3268,06001421500,2352,72.0,0.1,8.6,2.0,0.3,83.8,3.3,1.9,"Berkeley, Alameda County",5.8
206,2354,06001407500,435,18.5,0.2,20.0,26.5,0.2,11.5,40.4,0.8,"Oakland, East Oakland, Alameda County",31.3
207,3761,06001451401,2253,59.9,0.0,9.2,5.7,0.0,55.9,17.1,12.2,"Livermore, Alameda County",7.8
208,3037,06001443103,1632,53.7,0.6,73.1,0.5,0.0,23.4,1.8,0.3,"Fremont, Mission San Jose District, Alameda County",2.5
209,4755,06001430600,2524,53.1,0.0,34.1,3.7,0.0,46.4,14.1,1.8,"Castro Valley, Alameda County",6.8
210,3061,06001421600,2116,69.1,0.0,12.6,0.5,0.0,76.3,3.1,7.3,"Berkeley, Alameda County",8.8
211,3563,06001408300,1743,48.9,0.0,11.4,46.7,2.0,27.8,10.2,2.2,"Oakland, Alameda County",13.6
212,3435,06001450607,1590,46.3,0.0,34.4,2.6,0.0,46.1,12.8,4.1,"Pleasanton, Alameda County",5.5
213,2263,06041101200,1327,58.6,1.8,5.7,2.4,0.0,71.8,13.8,4.4,"Black Point-Green Point, Marin County",2.6
214,3244,06041117000,2556,78.8,0.0,6.3,0.5,0.0,83.7,7.9,1.4,"San Anselmo, Marin County",6.1
215,4783,06041110100,2637,55.1,0.0,9.7,2.5,0.0,75.4,11.8,0.4,"San Rafael, Marin County",9.6
216,2383,06041133000,1408,59.1,0.3,0.8,0.6,0.0,91.6,6.3,1.0,Marin County,7.4
217,4088,06041114100,3020,73.9,0.0,4.4,1.6,0.2,87.0,5.0,1.8,Marin County,10.0
218,4294,06041124200,2962,69.0,0.8,7.7,0.2,0.0,84.4,4.3,2.6,"Hill Haven, Tiburon, Marin County",1.7
